,City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
135,3466165,Cidreira,BR,-30.18,-50.21,64.06,79,1,19.73,1602901838
136,1735106,George Town,MY,5.41,100.34,86.0,74,20,3.36,1602901812
137,5367788,Lompoc,US,34.64,-120.46,71.6,35,1,4.7,1602901790
138,3443061,Chui,UY,-33.7,-53.46,56.01,92,0,9.6,1602901838
139,3408424,Ipixuna,BR,-1.76,-48.8,75.2,94,40,4.16,1602901838
140,2721259,Boo,SE,59.33,18.28,41.0,100,0,3.36,1602901838
141,3438102,Fuerte Olimpo,PY,-21.04,-57.87,77.9,67,26,4.07,1602901838
142,3517970,Pochutla,MX,15.74,-96.47,78.01,86,97,3.91,1602901839
143,723411,Svit,SK,49.06,20.21,42.01,93,90,6.93,1602901839
144,2537881,Safi,MA,32.3,-9.24,60.8,76,0,5.7,1602901839
145,3430863,Mar del Plata,AR,-38.0,-57.56,57.0,100,75,3.36,1602901603
146,2208248,Kaitangata,NZ,-46.28,169.85,50.0,63,92,18.01,1602901839
147,6944110,Les Escoumins,CA,48.11,-69.02,43.61,100,100,1.88,1602901839
148,6067472,Marystown,CA,47.17,-55.15,55.0,100,55,5.73,1602901839
149,3355672,Lüderitz,NA,-26.65,15.16,65.41,47,2,16.35,1602901840
150,3887127,Iquique,CL,-20.22,-70.14,62.6,77,90,6.93,1602901840
151,1798760,Pingliang,CN,35.54,106.69,52.59,44,0,7.63,1602901840
152,6111862,Port Hardy,CA,50.7,-127.42,50.0,81,75,9.17,1602901803
153,3175096,Laas,IT,46.62,10.7,43.0,100,75,5.82,1602901840
154,1214658,Lhokseumawe,ID,5.18,97.15,85.15,65,95,1.83,1602901840
155,1214026,Sabang,ID,5.89,95.32,83.95,72,82,18.23,1602901840
156,5122534,Jamestown,US,42.1,-79.24,37.0,64,1,4.7,1602901840
157,6145890,Shelburne,CA,44.08,-80.2,37.99,93,40,2.24,1602901571
158,1261258,Nizāmābād,IN,18.67,78.12,77.27,84,47,4.23,1602901841
159,1734098,Keningau,MY,5.34,116.16,84.2,74,20,2.24,1602901841
160,2028164,Deputatsky,RU,69.3,139.9,13.5,96,100,10.8,1602901841
161,151262,Nyakahanga,TZ,-1.6,31.14,60.24,93,11,2.24,1602901841
162,1514792,Gazojak,TM,41.19,61.4,54.39,40,0,5.57,1602901841
163,298033,Viranşehir,TR,37.24,39.76,66.63,31,0,4.0,1602901841
164,1788402,Xiongzhou,CN,25.12,114.3,67.6,69,91,7.0,1602901841
165,2164837,Goulburn,AU,-34.75,149.72,73.0,56,100,1.01,1602901841
166,149658,Tabora,TZ,-5.02,32.8,68.0,64,20,5.82,1602901842
167,2015913,Suntar,RU,62.14,117.63,25.77,88,92,9.1,1602901842
